,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d
182,36.424282855236825,0.5,0.2,0.625,0.375,0.13720034122290087,0.29103654103554194,0.1976526738653604,0.37411044387619724
183,36.62441627751834,0.5,0.2,0.625,0.375,0.14325284664061533,0.28874286404497945,0.20336937075145872,0.36463491856294694
184,36.82454969979987,0.5,0.2,0.625,0.375,0.14942862342182361,0.28650782818262527,0.20899263626207712,0.3550709121334744
185,37.024683122081385,0.5,0.2,0.625,0.375,0.1557193216799758,0.284332325712081,0.21450465580472522,0.34544369680321846
186,37.22481654436291,0.5,0.2,0.625,0.375,0.1621161295279246,0.2822175310170724,0.21988824666526538,0.3357780927897381
187,37.42494996664443,0.5,0.2,0.625,0.375,0.16860983947696817,0.2801648595375381,0.22512700982517558,0.32609829116031863
188,37.62508338892595,0.5,0.2,0.625,0.375,0.17519091278290036,0.27817592838489824,0.23020546579105414,0.3164276930411477
189,37.82521681120747,0.5,0.2,0.625,0.375,0.1818495383100098,0.27625251985703875,0.23510917231946238,0.3067887695134896
190,38.02535023348899,0.5,0.2,0.625,0.375,0.1885757018599866,0.2743965445329117,0.23982481501961384,0.2972029385874885
191,38.22548365577051,0.5,0.2,0.625,0.375,0.19535924564998106,0.2726100068534451,0.24434030049224342,0.28769044700433094
192,38.425617078052035,0.5,0.2,0.625,0.375,0.20218992869505192,0.2708949745173789,0.2486448063988476,0.2782702903887222
193,38.62575050033355,0.5,0.2,0.625,0.375,0.20905748453053155,0.26925354989361094,0.25272881924450674,0.26896014633135124
194,38.82588392261508,0.5,0.2,0.625,0.375,0.21595167590812842,0.2676878421508747,0.2565841754759619,0.25977630646503547
195,39.026017344896594,0.5,0.2,0.625,0.375,0.22286234124312918,0.2661999480548769,0.26020403912818396,0.2507336715738105
196,39.22615076717812,0.5,0.2,0.625,0.375,0.22977944368669231,0.264791928976867,0.2635829121168784,0.2418457152195628
197,39.426284189459636,0.5,0.2,0.625,0.375,0.23669310934703378,0.2634657959100474,0.2667165986293292,0.23312449611359015
198,39.62641761174116,0.5,0.2,0.625,0.375,0.2435936615251474,0.262223496983755,0.2696021582741122,0.22458068321698588
199,39.82655103402268,0.5,0.2,0.625,0.375,0.2504716570541786,0.2610669030765086,0.27223787314672954,0.21622356672258372
200,40.0266844563042,0.5,0.2,0.625,0.375,0.25731790581189307,0.2599978036901891,0.2746231687048645,0.20806112179305375
201,40.22681787858572,0.5,0.2,0.625,0.375,0.2641234975804607,0.25901789822823584,0.2767585569286465,0.20010004726265734
202,40.426951300867245,0.5,0.2,0.625,0.375,0.2708798180875793,0.2581287929517872,0.2786455612716175,0.19234582768901637
203,40.62708472314876,0.5,0.2,0.625,0.375,0.2775785603401968,0.2573320002607615,0.2802866355987005,0.18480280380034167
204,40.82721814543029,0.5,0.2,0.625,0.375,0.2842117390712467,0.2566289363370217,0.281685088591778,0.177474235999954
205,41.027351567711804,0.5,0.2,0.625,0.375,0.2907716928236614,0.2560209241105305,0.2828450018419986,0.17036238122380976
206,41.22748498999333,0.5,0.2,0.625,0.375,0.2972510900367537,0.2555091946522298,0.2837711479312222,0.1634685673797946
207,41.427618412274846,0.5,0.2,0.625,0.375,0.30364292980321955,0.25509489029822213,0.28446891275445435,0.15679326714410427
208,41.62775183455637,0.5,0.2,0.625,0.375,0.30994053935170246,0.25477906879863865,0.2849442207749382,0.15033617107472114
209,41.82788525683789,0.5,0.2,0.625,0.375,0.31613757230946965,0.25456270755522514,0.2852034549110967,0.14409626522420893
210,42.02801867911941,0.5,0.2,0.625,0.375,0.3222280028624195,0.25444670803424047,0.2852533939787292,0.1380718951246112
211,42.22815210140093,0.5,0.2,0.625,0.375,0.3282061197372938,0.25443190094560403,0.28510114091568817,0.1322608384014144
212,42.428285523682455,0.5,0.2,0.625,0.375,0.33406651908560153,0.2545190509967076,0.2847540611244416,0.1266603687932496
213,42.62841894596397,0.5,0.2,0.625,0.375,0.3398040965006078,0.25470886125391473,0.28421972936221324,0.12126731288326462
214,42.8285523682455,0.5,0.2,0.625,0.375,0.3454140377196367,0.25500197861173196,0.28350586878081374,0.11607811488781795
215,43.028685790527014,0.5,0.2,0.625,0.375,0.35089181042141865,0.2553989971929696,0.2826203094566689,0.11108888292894314
216,43.22881921280854,0.5,0.2,0.625,0.375,0.35623315430637587,0.2559004629190849,0.28157094039083175,0.10629544238370776
217,43.428952635090056,0.5,0.2,0.625,0.375,0.36143407168564534,0.2565068772220817,0.28036566889379644,0.10169338219847683
218,43.62908605737158,0.5,0.2,0.625,0.375,0.3664908189091883,0.25721869968237265,0.2790123883790916,0.09727809302934767
219,43.8292194796531,0.5,0.2,0.625,0.375,0.37139989597343265,0.25803635172316797,0.27751894175624275,0.09304481054715678
220,44.02935290193462,0.5,0.2,0.625,0.375,0.3761580387249148,0.25896021821611065,0.27589309678358687,0.08898864627538784
